Taxa,trnL-LF,rbcL,ITS,matK
Draba streptocarpa,AF146943.1,,DQ467563.1,
Draba stylaris,AF120736.1,,FM957493.1,
Draba stylosa,AF146972.1,,DQ467568.1,
Draba subalpina,DQ467133.1,,DQ467570.1,
Draba subamplexicaulis,GU202662.1,,GU202540.1,
Draba subcapitata,DQ467024.1,KC482643.1,DQ467264.1,KC474654.1
Draba subumbellata,AF146976.1,,AF146498.1,
Draba supranivalis,AY134346.1,,AY134170.1,
Draba surculosa,DQ467042.1,,DQ467368.1,
Draba thomasii,DQ466907.1,,,
Draba tibetica,AY134302.1,,DQ467425.1,
Draba tomentosa,AF120741.1,,DQ467267.1,
Draba trinervis,AY134305.1,,AY134156.1,
Draba tucumanensis,AF146923.1,,AF146476.1,
Draba turczaninovii,GU202666.1,,GU202544.1,
Draba ussuriensis,GU202667.1,,GU202545.1,
Draba ventosa,AY900436.1,,DQ467617.1,
Draba violacea,AF146954.1,,AF146507.1,
Draba volcanica,DQ467137.1,,,
Draba winterbottomii,AY134262.1,,DQ467268.1,
Draba wurdackii,GU202935.1,,GU202550.1,
Draba yunnanensis,DQ467043.1,,DQ467374.1,
Draba zangbeiensis,AY134367.1,,AY134114.1,
Erophila verna,DQ518367.1,HQ619740.1,AY047686.1,HQ619804.1
Heterodraba unilateralis,GU202677.1,,GU202555.1,
Schivereckia podolica,AY134270.1,,AY134136.1,
Schivereckia monticola,AY134269.1,,AY134108.1,
Tomostima araboides,AF146952.1,,AF146505.1,
Tomostima australis,AY900353.1,,GU202448.1,
Tomostima cuneifolia,AF146989.1,,AF146484.1,
Tomostima platycarpa,GU202646.1,,GU202524.1,
Tomostima sonorae,GU202586.1,,GU202464.1,
Tomostima reptans,AF146979.1,,AF146495.1,
